ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	HSD3B2_RNA	HSD3B1_RNA	NADH_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	3.41713136611142	3.79667023407845	18.9258	17.0477
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	3.64475356347642	4.07293953622975	17.9132	15.5361
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	3.88048720072947	4.03902020183265	17.3772	11.4818
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	3.82640314252666	3.97023108991693	18.2417	18.8679
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	3.6607913557869	4.01683364134225	14.5684	15.9077
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	3.71433142065008	3.89048624796534	17.0481	18.9475
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	3.87748997815967	4.16136275928959	17.6766	15.106
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	3.63368486548381	3.89330249330046	17.5744	14.1029
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	3.68479711605279	3.88686268891989	15.615	15.5685
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	3.60727414913921	3.85506001804484	16.5449	17.6524
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	3.4010654938801	3.66866080399542	12.2883	13.51
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	3.71254683494788	3.90436173110458	15.696	17.5552
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	3.66008635056972	3.85275738697971	12.2883	11.4818
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	3.90931108098551	5.71066262164652	12.2883	15.2141
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	3.49916644426205	3.69239702295246	19.4148	17.9748
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	3.74796885539224	3.82347573397553	16.9873	16.8913
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	3.7434688344354	3.91815977886723	19.0355	15.4116
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	3.54341398703399	3.90028548639739	12.2883	17.4189
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	4.42475181916394	3.92903215626487	17.1308	14.1538
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	3.60842177165717	3.70341288876129	16.7189	15.5057
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	3.60742582803872	5.48339265987078	15.2434	16.8816
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	4.07809865082923	4.82091862026971	16.2879	15.8905
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	3.59957033829448	3.88997387209199	17.6022	19.2777
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	3.77007077706258	4.29595429737894	13.9643	17.8316
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	3.58776165887752	3.7541377276295	12.2883	21.6008
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	3.43415821623484	4.2941903080972	12.2883	17.1743
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	3.3175324855983	3.55193850339399	13.6254	11.4818
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	3.52255180406547	3.92839742155066	17.9416	16.3098
