ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	NAA60_RNA	NAA30_RNA	NAA20_RNA	NAA10_RNA	NAA15_RNA	NAA11_RNA	SLC15A4_RNA	SLC15A3_RNA	SLC15A1_RNA	CARNS1_RNA	CNDP2_RNA	CNDP1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	6.9258571690319	7.65044544435444	6.40710212969485	6.00335122761168	6.60866400815303	3.73554067296388	8.13625677030385	6.44737792785645	7.45475516258854	6.07473539757527	7.97758891049507	4.37397866200506	13.8413
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	7.21362433529477	7.13486443748036	6.7098610015825	6.31791941490636	6.54330264871578	3.98865971533975	7.14969522684839	6.834182860473	6.88814302054373	6.33394311740362	7.85952890600606	4.68854686471084	12.0423
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	7.14186913074157	7.1801689481208	6.36941900870392	6.22015929255859	6.59293648772665	3.93005384816142	7.01939815664174	6.49602978169025	7.20875338041674	6.42524078917071	8.24316814186866	5.936537596375	13.5672
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	7.2878684160205	7.31750936715595	6.64187762004127	6.27302217252432	6.31496375101694	3.87704950321196	6.62019344845946	6.77195942715405	5.75050465298637	6.30939823761898	8.39479538403059	5.38157384040189	15.5816
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	7.2653364575809	7.65207019216349	6.33734977775491	5.91654411322851	6.17511227451992	3.8269926306482	7.04002756996428	6.07214431491711	7.73724209040443	6.26937182947143	6.64352709257334	4.5485480125917	12.0423
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	7.3523633832879	7.2148397528091	6.92701045320409	6.08799845517472	6.58453328007398	3.9346449702625	7.22573577280851	6.58836437465621	8.88016267869599	6.42022557329719	7.78537759524244	4.91091444827734	15.01
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	7.1829087296872	7.45846296091	7.12549368407915	5.89347738466872	6.48351909083075	3.63052117891222	7.46136196796614	6.01223926013172	8.767957530838	5.894436888565	8.1589032705338	4.60597038080106	14.4183
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	7.52934106329268	7.45110364464303	7.08213021210285	6.15807870929346	6.71143290662269	4.50420801148611	6.80010796850496	6.05553582455142	8.46964608637652	6.31712499916491	7.04985872188317	4.41991391751818	12.0423
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	7.036810528753	6.93447686175988	6.77614392544436	6.42170104310313	7.32356004775151	3.71023473938296	7.46366636643451	6.98320678389665	6.19569117503814	5.86347734036381	8.78987180866802	4.67999337951457	12.0423
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	7.72480850628296	7.30498925446217	6.56144180409374	6.15346592521969	6.62462383042713	6.64512681886732	5.73180506949002	5.98346719315425	5.06359752497786	6.24870842089213	7.59864899123263	5.02333692420781	12.0423
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	7.20838602627797	7.28736702645469	6.40407700149863	6.16283734169716	6.62979124522197	3.6465110065063	7.6348273720094	6.52483933374238	8.27372455670767	6.05916549334703	7.71378501801523	4.35955257764285	17.019
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	7.1231775834435	7.16441145047365	6.84900540453044	6.28425508134587	6.0609673577664	3.87827592491134	7.41416113755436	6.42177354513076	8.59118022811735	6.50807101258965	8.81434048947967	4.82522221279025	12.0423
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	7.43231265444218	7.10266058565319	6.83327847421137	6.31207816862303	6.39528615203645	3.7871492510995	7.19590800238738	6.45621552291611	7.66574967583741	6.59759261573245	7.21807665510086	4.73729503737235	19.4163
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	7.51106084001345	7.67271382899437	6.63471277065683	6.29549505002745	6.54648252157365	3.85862650746475	7.78687641812996	6.03302676827628	8.13654863756694	6.26410231352344	8.51710022474355	7.4883171807924	12.0423
