ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLC2A7_RNA	SLC2A4_RNA	SLC2A1_RNA	SLC2A2_RNA	SLC2A11_RNA	SLC2A9_RNA	SLC2A8_RNA	G6PC3_RNA	G6PC2_RNA	GLB1L_RNA	SLC2A12_RNA	SLC2A3_RNA	SLC2A6_RNA	GLB1_RNA	SLC5A1_RNA	GALM_RNA	AKR1B1_RNA	SLC2A10_RNA	SLC2A14_RNA	AKR1B10_RNA	SLC2A5_RNA	LCT_RNA	SI_RNA	AGL_RNA	AMY1B_RNA	SETD5_RNA	LYZL1_RNA	SLC3A1_RNA	GBA2_RNA	AMY2A_RNA	GAA_RNA	GBA_RNA	GANAB_RNA	MGAM_RNA	SLC5A12_RNA	SLC5A2_RNA	SLC7A9_RNA	TREH_RNA	SLC5A10_RNA	SLC5A9_RNA	MOGS_RNA	SLC5A11_RNA	SLC3A2_RNA	PGGHG_RNA	GANC_RNA	GALC_RNA	SAPCD1_RNA	CAPN3_RNA	KANSL3_RNA	HKDC1_RNA	B4GALT1_RNA	HK1_RNA	B4GALT2_RNA	LALBA_RNA	HK2_RNA	HK3_RNA	GCK_RNA	ADPGK_RNA	Maltotetraose_upmeta	Maltotriose_upmeta	D-Maltose_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	5.28214023085611	5.36061060850951	7.15705282186634	9.98936776732195	5.41560352361608	4.91708540240558	6.08002367496991	5.55246070550171	3.41429728975992	7.0640533124071	5.13873061540579	8.67095881829656	6.33275976078872	7.69823448122315	5.1204008664887	7.22829800477808	6.43751433854048	8.35850254722903	6.06314771738526	8.46652486488296	5.57524298945196	3.84319231414175	2.59425943273866	6.86550181801753	5.0723277810165	7.4847073816486	3.68138103191864	4.21431553928606	6.38525768876264	4.52717444402405	7.44918761403899	8.76833106642152	8.89088677119984	3.82715020378412	4.15474393085659	5.87286760315115	6.39254358045881	4.94975083946786	5.57042654210923	6.90448299486314	6.45650120118338	4.93396035285707	8.88714178164664	5.91725883513773	6.42046457862166	6.97271925466797	6.27281552626335	5.26017793024182	7.2755300622702	7.91357448596429	7.62661946417114	4.48688216645544	6.75798727260507	3.58818115935684	7.06720887376157	5.65456291123985	5.28992140852863	5.4649086850315	14.1368	14.2585	14.8188	27.4319
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.75712178796524	5.66838821445899	6.05647533274504	10.1379217270516	5.66890080694165	5.23340125356831	6.14301448452283	6.01637737186379	3.65310733586152	5.88853322773714	4.33971691959637	8.29169267744408	6.30786151173758	7.09668839074396	4.93591240903019	7.56412173453474	5.83938301109848	6.78096256939332	6.23807805924621	11.2511849760257	5.74816836712621	3.90222598522384	2.62854207564214	6.65283122601115	5.68910761550684	7.21733560070382	3.96364299604151	4.75877412414679	6.44544240819003	5.58345796526451	7.58525516180058	7.49534214437554	8.91312202502318	4.43813812571505	3.96160048739607	6.14751159431409	6.48701884476944	5.74217813282556	5.88982765089421	6.7169068393814	6.47936370819253	5.40462973644754	9.09995060768864	6.78686969359955	7.1324154731202	5.65090599904103	6.61867943983552	6.43172593523046	7.18481203014206	7.92412353047231	8.08253088185572	5.3002927096079	6.92025286620039	3.50079311538734	5.25598150726868	6.05498530681009	5.62250803469807	5.17645793471189	17.202	18.0847	18.3906	27.4657
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	5.91203362505625	5.65577036813478	6.19822978269007	10.5142578874526	5.4707617057233	6.62823324992661	6.42769309153923	5.65961778331576	3.67601266071762	5.57252805860943	5.50744139146314	8.59295390316307	6.30021048269969	7.37156900573174	5.00136667729386	7.41225410623646	5.93282594913756	6.91609999145121	6.32657131526607	10.341053699395	7.10459153879686	4.08805341049706	2.74346500781739	7.71982946421209	5.62705520971459	7.11400805404766	3.9942343028169	4.86334112502569	6.71638267148102	5.65079054257789	7.42416195086614	6.86168450759169	8.78109480086738	4.03906655870121	3.96218908540485	6.19404863081969	6.28832157557416	5.50640151298549	5.91514678745923	6.91474389051048	6.52525810457584	5.86968231247	8.28978143768135	6.33368088621369	7.18885820209031	5.58111494345215	6.08696357571124	6.16877798701016	6.94265178188132	6.1736420624245	8.82423998604065	5.18190983122135	6.67409542329257	3.58266874552744	5.09076832635171	6.12458251755414	5.75081805508419	5.71505766748349	11.2883	13.6609	13.1864	29.4666
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	5.74848414508905	5.86110114295384	6.35417345265062	11.1275108484173	5.64926639650539	5.3413273743824	6.39498688015498	5.9837662955243	3.625782575303	5.69155944360845	5.71449863257831	7.98877053103395	6.2591412703662	7.14301458856581	4.79794850096953	7.37375451663095	5.70558434215941	7.6851490233641	6.03009978470038	6.12171235913807	5.36502306140147	4.09690917931551	2.6305937190965	6.6838175452662	5.63994002101096	7.01192860772882	4.0846891136646	3.88203506082456	6.57552844632409	5.53990336603101	7.55294944319275	7.65363547933454	8.81317202090558	4.02488933431083	4.02088658020874	6.22713232182335	6.11283856199526	5.49085066736325	5.92118018898615	5.55072313155116	6.53165097953099	5.44602905435645	8.65419031345357	6.31435650730463	7.76601757572282	5.92439365996389	6.38356287539504	6.98044973211702	7.12092957363813	5.04854444169449	7.99670076582278	4.72165266169265	6.69686137221559	3.64406580257975	4.89974213972803	6.08061933686424	5.72728838549145	5.43335607821784	16.9947	16.2546	18.7474	27.6183
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	5.79514903925557	5.98096847207093	6.29068947367661	11.2206706888791	5.65244512724269	6.92235231178321	6.10996711898017	5.74851285106046	3.61602797326058	5.73374124796496	4.4252792647247	7.15533159375511	6.31199034629263	7.29937642380013	4.91048317596448	8.03318720788968	5.38142090462853	7.38620981183366	5.85858733231017	5.15524355626289	5.28046063359301	3.97465483042859	2.57761738156892	6.96033951561233	5.81894859068777	7.4225599616891	3.88878819421289	4.13288965415779	6.62418256036856	5.68185260055236	6.70404785659707	7.27413140994659	8.58144004725452	3.94916151516406	3.99384706797469	6.16984615730597	7.36521619552453	5.3685195956218	5.81085843063383	8.00578738566527	6.50905819789365	5.66537526695351	7.04749701098013	6.22694380704204	6.52429949009744	5.63793571321779	6.72943528367009	5.8430594481248	7.31678736798676	5.78133856975289	8.05103716242447	4.63833110442161	6.86814340961498	3.57327629035178	5.11316942835499	6.00575323018563	5.6252905960725	4.59212498701488	18.33	20.1922	20.1937	28.6191
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	5.63102615175688	5.57387854138644	7.18049828594984	10.3251677557392	5.57855465834871	6.07838883904164	6.25334265399103	6.49793964542437	3.40328920392289	5.50822782602729	5.54055038952823	8.09175126220778	6.33089560072889	6.84213267073994	4.77067149185938	7.43916534939913	5.70019133567044	5.9532421795582	6.10517197330314	11.0032452084002	7.2456304752516	3.9284190440843	2.64186592090281	7.11823088891863	5.83930990348328	7.17120437933922	4.03030514434693	5.57082665254494	6.80087900896858	5.78395491662342	7.38466215318944	7.71661827048378	8.69227555878026	3.82992501531589	4.38951795954234	6.18651356798198	7.0369326889572	5.37345404745841	5.85827147882335	5.57805422422602	6.08476152148305	5.99614707092134	8.74320912368658	6.27116901607484	6.34353540436238	6.10588162908159	7.1429935954319	5.53745102961894	7.30525343156179	6.15118448230087	7.80526792587916	4.86082754763982	6.85109766855909	3.45173702125737	5.78932914744411	6.03475810446567	5.79823044048121	5.12589660899097	18.401	19.2933	18.7431	28.191
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	5.36678614867954	5.19171688684587	6.07456754097111	11.0473370400506	5.03083203212502	6.69120953895961	6.07000077105874	6.01556729209678	3.45841484970276	6.39853022210012	6.21060736694573	7.32333461858932	5.7959845596849	7.57509692794992	4.6672134181714	8.08624561905906	5.52294704992683	8.02594440983477	5.58671756513936	10.4397840884388	5.36524175563259	3.84647617747211	2.49794626929844	7.54542549534175	6.93426854020782	7.61010988809509	3.68733749131546	5.01048952919381	8.88936508868255	7.36766893191791	7.35005130267524	7.13989820327161	9.1999997390925	4.16892682806307	8.5842218076387	5.61896312747306	6.81566569967007	5.00423201929093	5.45476263328942	6.69837699915864	6.32984604208785	5.50790638006592	8.03985169363045	5.73943452223295	7.59216274692389	5.93379561784583	6.29021450503101	6.60188454355688	7.18820885053415	5.25014608590019	9.94512397489632	4.29095849806772	6.50434847866544	3.34672057223242	4.62007389824146	5.4091349385975	5.28575482934244	5.15992872253242	15.7553	18.2718	19.0233	30.0114
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.64000576044508	5.64381862779502	7.44851189590386	7.81562554647031	5.59670043019783	4.95694479016658	6.26914235796034	6.45439063216492	3.44279744045002	6.92797671765702	4.73473992589016	7.27595801093407	6.27921298151005	6.5613515603086	4.72053776153532	7.35469876972454	5.92066058525123	6.75303540163703	5.59371651993966	12.3300229339821	5.51542087172878	3.95486950037763	3.15358141342838	7.07533384120214	4.98568996495313	7.1433197327678	3.98089325497896	4.8271035937066	6.18729844216785	4.06666744502497	7.11791376599107	7.98170388422481	9.38729219440491	3.81193678442257	6.84885615754679	6.2154319385977	7.41309664579319	5.20829763984049	5.91825059198934	7.60768352130918	6.61439411376234	6.18659191602944	8.83022105972563	6.56034220909969	5.4907986560514	6.29745612915443	6.95999142777059	5.03721722592875	7.06801617702934	5.72653940836965	7.1832131359687	4.59149086611043	6.96721659900496	3.53507638641967	6.22181861728353	5.98742625560194	5.69740359990296	5.19694207178794	15.4181	13.6609	13.1864	26.5178
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.31154848829133	5.71301296017153	9.56737971389519	8.69636792223413	5.23798540170347	4.96583263830709	6.41264020850549	7.48464056236481	3.36421600836793	5.90879035179972	4.19944915356781	9.65129499765612	6.31303086245581	8.15806332714028	4.58443257514319	8.01475489096062	6.00707345275027	5.59736119155217	6.19452376755094	10.16739928953	8.48951405374439	3.70774319995761	2.54632214968155	6.86913163879696	6.56047471243322	7.16574109037746	3.77352629041078	5.59769067154583	7.20982652074946	6.91174036415401	8.16886947453944	8.78665609808723	9.18037350137799	4.0713826460082	4.24104880660562	5.63951963270797	4.98841075485041	4.89079507280543	5.49360022533978	5.35662034442032	6.34705806676957	5.02328874398029	10.1246356303896	5.84852102098453	6.71576033174747	5.80110092656617	6.40421337503586	6.13641905837111	7.79972877650579	10.1701903885333	8.23332323885255	6.16843633607626	6.44233452411215	3.29121152896026	7.66836401619521	6.05648742333316	5.22567706207801	5.50891251919288	18.8729	20.1792	20.5883	27.0645
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	5.56971704290982	6.23240561765487	5.9250069849826	10.5704128247234	5.53779296181529	6.29449119654024	6.2400762568732	5.69504122404667	3.5981837441098	5.43715015414455	5.15034627015648	8.00147054817526	6.36918749417757	7.22371994912713	4.71340431339597	8.03621223505858	5.40318767298955	6.46874432705439	5.89204790474008	7.87996616692052	5.01959261104788	4.049355187304	2.52712759340165	6.57356888415632	5.65536304092851	7.36440823793904	3.97479171033144	4.05399931097713	7.17136440399103	5.55100841832247	7.86541139140083	7.62413962355482	9.09550876976891	3.88875169778296	6.16921853629558	6.054895589227	6.57254867837626	5.35204036134479	5.85320236379486	5.79971042056085	6.42617994784253	5.8878677327329	8.22536014085944	6.13351459975224	6.78956604299951	5.89473611988143	7.73994270762501	6.18801717603926	7.54629726112595	6.04781218807027	8.10487372715233	4.67030706557923	6.96082816922019	3.77527266295028	4.67759607014877	5.91003140477759	5.57703410484415	4.91798408932082	17.5062	19.003	19.9696	27.7959
