ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GAA_RNA	GANC_RNA	AMY1B_RNA	LYZL1_RNA	SLC2A3_RNA	MGAM_RNA	AMY2A_RNA	SI_RNA	CAPN3_RNA	Maltotriose_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	7.44918761403899	6.42046457862166	5.0723277810165	3.68138103191864	8.67095881829656	3.82715020378412	4.52717444402405	2.59425943273866	5.26017793024182	14.2585	14.8188
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	7.58525516180058	7.1324154731202	5.68910761550684	3.96364299604151	8.29169267744408	4.43813812571505	5.58345796526451	2.62854207564214	6.43172593523046	18.0847	18.3906
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	7.42416195086614	7.18885820209031	5.62705520971459	3.9942343028169	8.59295390316307	4.03906655870121	5.65079054257789	2.74346500781739	6.16877798701016	13.6609	13.1864
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	7.55294944319275	7.76601757572282	5.63994002101096	4.0846891136646	7.98877053103395	4.02488933431083	5.53990336603101	2.6305937190965	6.98044973211702	16.2546	18.7474
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	6.70404785659707	6.52429949009744	5.81894859068777	3.88878819421289	7.15533159375511	3.94916151516406	5.68185260055236	2.57761738156892	5.8430594481248	20.1922	20.1937
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	7.38466215318944	6.34353540436238	5.83930990348328	4.03030514434693	8.09175126220778	3.82992501531589	5.78395491662342	2.64186592090281	5.53745102961894	19.2933	18.7431
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	7.35005130267524	7.59216274692389	6.93426854020782	3.68733749131546	7.32333461858932	4.16892682806307	7.36766893191791	2.49794626929844	6.60188454355688	18.2718	19.0233
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	7.11791376599107	5.4907986560514	4.98568996495313	3.98089325497896	7.27595801093407	3.81193678442257	4.06666744502497	3.15358141342838	5.03721722592875	13.6609	13.1864
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	8.16886947453944	6.71576033174747	6.56047471243322	3.77352629041078	9.65129499765612	4.0713826460082	6.91174036415401	2.54632214968155	6.13641905837111	20.1792	20.5883
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	7.86541139140083	6.78956604299951	5.65536304092851	3.97479171033144	8.00147054817526	3.88875169778296	5.55100841832247	2.52712759340165	6.18801717603926	19.003	19.9696
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	7.37288199724801	6.08112462006738	5.14214833962879	3.70021676348466	8.88138813526482	3.8309256632025	4.89047286680472	2.49045781975745	5.44820071511846	19.5034	18.4929
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	7.82080086305454	6.92539209428801	6.1554789206748	4.09635504549591	8.01923353396225	4.24770307151915	6.31035017168777	2.62890469671084	6.16314183226824	20.8714	20.6388
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	7.81068719304646	5.46306061492022	5.09330273235036	3.9988529816195	6.84158417508881	4.26288323092558	4.57266568303506	2.58467619867133	5.33733255611624	20.0198	20.8912
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	7.38096241873427	7.82616006766687	6.06289286103949	3.88973221315945	6.27459437981488	3.83043571567826	6.16700144843679	2.57373621171288	7.15608991195944	18.9778	16.7259
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	7.11744431911943	6.86807977050398	5.14668364289111	3.82994828147355	7.34785758606225	3.85816859750897	5.02836381909091	2.53690735434409	6.35036262277361	18.34	18.8926
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	7.50564304237465	7.78572284962417	6.06405303995759	3.77712848013269	6.22553780360646	3.804920622368	6.12495119779696	2.49246498643566	7.05566275050802	19.645	18.9395
