ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1A2_RNA	SLC22A3_RNA	SLCO1B3_RNA	SLC22A1_RNA	SLC22A2_RNA	HDC_RNA	SLC18A1_RNA	DDC_RNA	SLC18A2_RNA	HNMT_RNA	AOC1_RNA	AOC2_RNA	AOC3_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	3.26327741532742	7.61892890451715	10.1726502198871	5.81822535755211	3.30707784857589	4.19570387776853	3.85973853714387	5.44591919297414	4.46915183431094	6.8093295096993	5.08469571065453	4.71225110711599	5.70384187436913	23.9717
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	3.09415481524961	6.34036108944286	5.7456639846149	8.15867803582001	3.3564505187725	4.59013777035007	4.23928645682579	6.36269589373819	4.6025060171262	7.11167493745603	5.43449031593421	4.92072094608491	6.51946636357773	20.129
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	3.53344216141025	8.28151776628086	10.7693832251347	10.1995162965372	3.56394484522658	4.73940722176691	4.19653762015663	6.61436383058678	4.62166941388295	7.18481438703112	5.50939514277583	4.84863678630651	6.51061772295482	22.2872
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	3.11870155068163	8.86546058540966	10.6020352649821	7.81153487903902	3.41716372702104	4.79622336728008	4.23562146583329	5.96757070395951	4.82670236806452	6.83117404326321	5.44835716785202	4.82736238101074	5.94632658583427	27.2268
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	3.32462995885054	7.8873570709783	10.6015939815432	5.86878373787842	3.36840867358345	4.85189776676591	4.17218649337494	6.60545174703769	4.97744831097171	7.1991646572533	5.41345916858711	4.64531659778631	6.46978475470118	25.5724
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	3.15597314887293	7.26655192637187	8.39365779875081	6.35419295351576	3.3578836130635	4.59179442477507	4.11948955398018	6.08670448971811	4.62631732065674	6.51330898529317	5.36606774690305	5.06369905698294	6.22459315011101	26.2001
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	3.40532251022338	9.23249361925336	10.3196661411092	9.36198818461364	3.29036338602817	4.28979146389596	3.84735228953239	6.38362949568275	4.34661810771475	7.95706565900674	5.00879107430406	4.7369293486162	6.43153332115454	24.5024
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	4.4722660328046	5.55519518127271	3.78453098280226	5.70955549500078	3.33835489943617	4.61071328078884	4.10369106990298	6.62548347454872	4.60338527688905	6.22537847831815	5.9964560352594	4.55093101983733	5.78477896004248	21.5399
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	3.17611734004158	5.7637967228172	5.75319345508659	5.7539102840316	3.21093658798693	4.26109245263264	3.8602149348485	5.48714625482981	4.46580153710973	5.93475351916086	5.02693780233155	4.5597715172931	5.90213479473633	24.0826
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	3.51975012315592	7.82536500857693	9.31549137236877	5.82899545655937	3.30020325470293	4.43527610922731	4.11328990284357	5.66496450596195	4.4534867485347	6.81945363613523	5.38118919250823	4.96441879660901	6.38736145045343	24.9041
