ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	LYZL1_RNA	AMY1B_RNA	AMY2A_RNA	GANC_RNA	GAA_RNA	MGAM_RNA	Maltotetraose_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	3.68138103191864	5.0723277810165	4.52717444402405	6.42046457862166	7.44918761403899	3.82715020378412	14.1368	14.2585
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	3.96364299604151	5.68910761550684	5.58345796526451	7.1324154731202	7.58525516180058	4.43813812571505	17.202	18.0847
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	3.9942343028169	5.62705520971459	5.65079054257789	7.18885820209031	7.42416195086614	4.03906655870121	11.2883	13.6609
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	4.0846891136646	5.63994002101096	5.53990336603101	7.76601757572282	7.55294944319275	4.02488933431083	16.9947	16.2546
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	3.88878819421289	5.81894859068777	5.68185260055236	6.52429949009744	6.70404785659707	3.94916151516406	18.33	20.1922
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	4.03030514434693	5.83930990348328	5.78395491662342	6.34353540436238	7.38466215318944	3.82992501531589	18.401	19.2933
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	3.68733749131546	6.93426854020782	7.36766893191791	7.59216274692389	7.35005130267524	4.16892682806307	15.7553	18.2718
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	3.98089325497896	4.98568996495313	4.06666744502497	5.4907986560514	7.11791376599107	3.81193678442257	15.4181	13.6609
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	3.77352629041078	6.56047471243322	6.91174036415401	6.71576033174747	8.16886947453944	4.0713826460082	18.8729	20.1792
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	3.97479171033144	5.65536304092851	5.55100841832247	6.78956604299951	7.86541139140083	3.88875169778296	17.5062	19.003
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	3.70021676348466	5.14214833962879	4.89047286680472	6.08112462006738	7.37288199724801	3.8309256632025	16.0681	19.5034
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	4.09635504549591	6.1554789206748	6.31035017168777	6.92539209428801	7.82080086305454	4.24770307151915	19.3957	20.8714
