ID	LCS_501	LCS_502	LCS_503	LCS_504	LCS_505	LCS_506	LCS_507	LCS_508	LCS_509	LCS_510	LCS_511	LCS_512	LCS_513	LCS_514	LCS_515	LCS_516	LCS_517	LCS_518	LCS_519	LCS_520	LCS_524	LCS_525	LCS_527	LCS_528	LCS_529	LCS_530	LCS_536	LCS_537	LCS_539	LCS_540	LCS_541	LCS_542	LCS_543	LCS_544	LCS_545	LCS_546	LCS_547	LCS_548	LCS_549	LCS_550	LCS_551	LCS_552	LCS_553	LCS_557	LCS_558	LCS_559	LCS_560	LCS_562	LCS_563	LCS_564	LCS_565	LCS_566	LCS_567	LCS_584
LysoPC(18:2(9Z,12Z) or 0:0)	24.9407	23.7709	23.1421	24.8713	21.3219	24.2439	23.9601	19.9014	21.4631	24.1124	24.001	15.6991	22.5283	17.3833	24.1819	22.4419	20.3218	26.8608	22.6241	22.8493	23.2843	17.522	25.8044	24.1217	23.2634	18.1559	25.4843	25.5099	15.6991	18.9122	21.5771	20.1647	22.3702	26.4138	25.1553	15.6991	23.8243	23.4905	22.5647	22.3572	23.4185	24.3688	23.476	23.3157	20.4846	23.7413	18.447	22.3419	15.6991	23.6271	24.1556	22.2382	24.2615	25.5465
1-Methylhistamine	20.6952	17.293	17.9117	21.8815	22.4552	22.9004	20.7091	14.8466	14.8466	17.3352	15.2061	14.8466	21.8731	14.8466	24.5576	14.8466	20.6756	14.8466	14.8466	14.8771	18.1477	18	18.376	21.1393	15.2525	14.8466	18.664	22.4127	18.7861	14.8466	20.1778	22.0023	21.6073	16.6871	23.0775	20.1705	22.1984	23.6515	20.4835	17.9482	22.5864	23.3002	22.6393	17.0333	19.6771	20.6952	20.4092	18.9636	14.8466	18.4144	22.9043	22.6485	24.0697	14.8466
1-Methylhistidine	14.927	14.9781	13.7719	15.2976	10.4909	10.4909	10.4909	14.2005	14.2901	15.5594	10.4909	10.4909	10.4909	14.3682	15.88	14.2354	10.4909	15.1971	15.1346	14.2758	10.4909	10.4909	15.024	15.6296	15.0404	15.5946	10.4909	13.3159	15.9079	10.4909	10.4909	10.4909	15.557	15.4377	10.4909	13.5178	15.3883	10.4909	14.9689	10.4909	10.4909	10.4909	10.4909	12.9276	10.4909	14.9689	10.4909	13.8687	10.4909	10.4909	13.6297	13.3954	14.9689	10.4909
MG(18:1(9Z) or 0:0 or 0:0)	19.892	21.149	21.0297	11.5003	24.4618	19.8289	23.8742	20.1503	25.8152	21.3517	21.1738	25.9191	22.3485	15.3001	20.5035	19.7842	11.5003	21.0325	21.9876	23.8955	25.7346	19.7153	23.354	24.3423	24.738	23.6143	20.8802	19.106	21.6404	21.8671	21.0307	22.8718	23.9636	21.2341	22.2076	18.8825	25.7534	20.5173	24.1634	18.0859	24.9646	22.5115	22.0064	19.1453	23.5963	22.2307	24.926	21.0775	19.1476	19.8013	24.1478	22.193	23.3902	19.1486
LysoPC(18:1(9Z) or 0:0)	26.3441	25.5079	23.8783	26.2395	22.8643	25.6287	25.6178	22.2773	22.3772	26.0154	26.5406	16.7719	24.8363	18.6536	25.1428	23.5814	19.8251	29.569	24.6622	24.7123	24.8868	19.0614	25.8519	26.073	25.28	20.9006	26.5742	26.3911	24.9307	21.366	23.9861	21.7926	24.5372	27.6273	26.951	24.4198	23.7207	24.6265	25.6231	24.4058	25.5134	26.378	24.253	26.2788	22.9078	27.2937	20.0374	23.279	25.1035	23.3211	24.7568	22.374	24.8664	27.0925
LysoPC(16:1(9Z) or 0:0)	25.1767	25.0686	21.0734	24.3383	21.0763	24.3728	23.4615	20.5675	20.2118	24.1705	24.8264	14.6264	21.8363	14.6264	23.1022	20.436	14.6264	28.5778	22.5313	22.9741	22.9036	16.0034	23.9777	24.1962	22.7591	17.3793	25.5054	24.1398	22.8656	14.6264	22.5275	18.0408	23.4313	24.2472	25.4569	14.6264	21.1773	22.652	22.8142	20.911	22.8949	23.5185	23.4222	24.4259	21.7272	25.4819	14.6264	20.9506	22.6872	21.323	23.0942	21.6682	21.0729	23.7898
LysoPC(16:0 or 0:0)	28.6285	28.0173	26.4991	28.2867	25.6243	28.1929	27.5984	24.3698	23.9178	27.613	28.2937	21.2294	26.0161	22.5544	27.2404	25.9234	22.6101	30.8734	26.5544	26.4818	27.6376	21.6075	28.0671	26.5107	26.2498	22.7113	28.7934	28.9498	26.9866	22.8179	26.0204	24.2905	27.061	29.1635	29.5208	26.7618	25.685	26.8997	26.5846	27.2636	27.023	27.8528	26.2092	28.0742	25.4691	28.9822	23.0319	26.0161	27.6423	26.7801	27.397	24.9831	27.1355	27.8117
LysoPC(18:0 or 0:0)	27.09	25.9294	25.3711	26.8306	23.7616	26.5107	25.7549	22.4034	21.8032	25.8787	25.6885	18.1371	26.3152	21.1139	25.6002	23.7555	21.9313	29.6126	25.9391	24.9099	26.4098	20.574	27.3502	25.5086	24.5445	23.01	27.1861	27.4673	26.5264	21.9886	24.6795	23.8021	25.8994	28.7728	26.9039	25.8307	24.9755	25.5014	27.1257	25.8359	25.9412	27.1331	25.6841	26.5684	24.8504	26.6141	21.3625	25.1657	26.0319	26.279	26.5645	23.578	26.4685	26.4825
MG(0:0 or 20:4(5Z,8Z,11Z,14Z) or 0:0)	18.6066	17.9055	20.0911	20.2239	19.2661	20.0241	19.0162	17.8986	18.5255	19.0475	19.2134	19.0079	18.836	17.3651	19.9133	19.0484	19.263	8.98014	14.8985	18.0221	18.3779	19.1795	19.6647	8.98014	19.6826	18.7818	18.898	18.0904	18.9037	16.2072	17.6387	17.101	19.8089	18.5297	18.489	17.266	19.0565	18.9984	8.98014	18.2696	17.7017	20.5119	18.1933	16.9378	19.3692	16.7131	20.3831	19.0116	17.5055	18.9798	18.6177	20.6056	19.6619	17.5895
Deoxyinosine	18.9297	18.0148	12.0151	17.6122	16.5016	16.8317	14.3911	18.2974	18.3882	16.5479	18.9064	18.6344	19.0909	12.0151	15.9592	16.3198	14.2024	18.5945	14.5979	18.8303	15.3294	12.0151	15.6379	19.2752	15.3173	16.463	17.3522	16.6218	14.7524	17.6218	17.2221	17.2725	14.285	15.4192	16.348	18.4919	18.2932	16.3901	16.7798	17.6164	16.3987	19.3687	12.0151	15.6803	15.6844	18.5232	18.011	15.5372	12.0151	13.4736	16.4492	13.5922	17.207	19.2114
2-Hydroxy-3-methylpentanoic acid	16.316	11.8154	15.6416	18.3499	11.8154	17.1562	16.9795	19.9362	11.8154	16.9455	15.8699	17.1933	11.8154	17.2348	17.0694	18.4083	16.1583	16.7407	16.944	16.2806	15.5772	15.2271	18.238	16.6487	17.86	16.7892	11.8154	16.3023	17.2947	17.1416	16.5387	16.9386	16.2616	11.8154	15.8616	11.8154	11.8154	11.8154	17.6135	16.6973	11.8154	11.8154	11.8154	16.1669	17.0228	11.8154	16.9586	16.243	11.8154	16.634	16.1729	16.5478	15.932	18.0489
